,company
0,"['Master of Science (MSc), Applied Physics, Research and Development', 'Bachelor of Science (BSc), Biomedical Sciences', 'Bachelor of Science (BSc), Applied Physics']"
1,"[""Bachelor's degree, Mathematics"", ""Bachelor's degree, Mathematics"", 'Cyber Security']"
2,[]
3,"['ASML · Full-time', 'Eindhoven University of Technology · Contract']"
4,['Alliander · Internship']
5,['Yash’s recent posts and comments will be displayed here.']
6,"[""Bachelor's degree, Civil Engineering""]"
7,"['Amazon Web Services (AWS) · Full-time', 'DSM · Part-time', 'Ministerie van Defensie · Full-time', 'Hi-tech Resolutions · Freelance']"
8,"['Full-time · 2 yrs 6 mos', 'DNB · Contract', 'DNB Markets  · Contract', 'LØVENSKIOLD-FOSSUM', 'Steen-Hansen Maskin AS']"
9,"['Pieter Nieuwland College · Part-time', 'Faculty of Economics and Business - University of Groningen · Part-time', 'LafargeHolcim', 'Senior IFRS specialist · Self-employed', 'Coöperatie Univé Dichtbij u.a.']"
10,"[""Master's degree, Operations Management & Logistics"", 'Exchange Semester, Business Process Management', ""Bachelor's degree, Industrial Engineering""]"
11,"[""Master's degree, Mathematics"", 'Honours College, Leadership: Making the difference!', ""Master's degree, Industrial and Organizational Psychology""]"
12,"['Leiden University', 'Ministry of Education, Culture and Science · Part-time', 'Freelance', '6 yrs 4 mos', 'Royal Mathematical Society']"
13,"['VanMoof · Internship', 'Q&Q Company · Part-time', 'Hogeschool Inholland / Inholland University of Applied Sciences · Part-time', 'Sagar Saurav Medical · Part-time', 'Sarita Indra Primary School  · Part-time']"
14,"['Computer 3000', 'C&S Designs B.V.']"
15,"['iTrainee', '2 yrs', 'Contract', 'Contract', 'Contract', 'Study association Sticky · Contract', 'Apothecary Hoge Dennen · Part-time']"
16,"['ASML', 'Technische Universiteit Eindhoven', 'Full-time · 1 yr 1 mo', 'TU/e Career Academy and SkillsLab · Part-time', '1 yr 10 mos', 'Part-time', 'Part-time']"
17,['Deltares · Internship']
18,"['Heliax · Full-time', 'Plotwise · Full-time', 'Skylads', 'Universiteit van Amsterdam', 'Penn State University']"
19,"['Full-time · 2 yrs 7 mos', 'International Baccalaureate · Contract', '5 yrs 3 mos', 'Full-time', 'Full-time', 'sy Pinta', 'Utrecht University']"
20,"['Master, Applied Mathematics', 'Master, Educatie en Communicatie in de Bètawetenschappen', ""Bachelor's degree, Applied Mathematics""]"
21,"['The HEINEKEN Company · Internship', 'Primark · Part-time']"
22,"['10 yrs 6 mos', 'Contract']"
23,"['Sioux Technologies', 'DSM · Full-time', 'DSM']"
24,"['The World Bank · Part-time', '5 yrs 1 mo', 'Full-time', 'Part-time', 'Lendahand', 'Yale University', 'Tinbergen Institute']"
25,"['AthenaSummary · Part-time', 'Vrije University Amsterdam · Part-time', 'Chinese Specialty Restaurant Chi-Ling · Part-time', 'Part-time · 9 mos', 'Amazing Toko · Part-time']"
26,"['Orderchamp · Part-time', 'Financial Study association Amsterdam · Part-time', 'Schoolkitchen · Part-time', 'Oot Granola · Internship', 'Piekfijn Work']"
27,"['ESE Bachelor Honours Class · Part-time', 'ASAH (The Association of Students of African Heritage) · Part-time', 'Part-time · 6 mos', 'B&R Beurs Erasmus Investment Society · Part-time', 'The Sales Unit -Field Marketing - Sales Marketing - Door to Door Marketing · Part-time']"
28,"['BlueGen.ai · Part-time', 'Prins Caspian - Caspian Catering - Caspian Food · Part-time', 'Royal HaskoningDHV · Contract', 'pouya-beta onderwijsinstituut · Freelance']"
29,"['Noordhoff', 'International School Eindhoven', 'Jacob-Roelands Lyceum', 'Eindhoven University of Technology', 'UC Irvine']"
30,['Radboud University · Full-time']
31,"['Campus Detachering BV · Part-time', 'Donders Institute for Brain, Cognition and Behaviour · Internship', 'ALTEN Nederland · Full-time', 'Arbor Media · Contract', 'Microflown Technologies · Internship']"
32,"['4 yrs 7 mos', 'ELEVATE A GIRL FOUNDATION INC', 'Eindhoven University of Technology', 'The Latham School', 'Inwood Academy for Leadership Charter School']"
33,"[""Bachelor's degree, Applied Mathematics""]"
34,"['6 yrs 2 mos', 'Ostrea Lyceum', 'CSG Reggesteyn', 'Stichting AAP', 'Planbureau voor de Leefomgeving']"
35,"['Utrecht University · Full-time', 'YES!Delft Students', 'HE Space Operations']"
36,"[""Master's degree, Applied Mathematics"", ""Bachelor's degree, Mathematical Engineering""]"
37,"['University College Utrecht · Permanent', 'Universiteit van Amsterdam · Part-time', 'Universiteit Utrecht', 'StudentsPlus Bijlessen', 'SSL Leiden']"
38,"['Picnic Technologies · Full-time', '5 yrs 1 mo', 'Picnic Technologies · Internship', 'WisMon onderwijsinstituut · Freelance', 'Delft University of Technology']"
39,"['1 yr 7 mos', '3 yrs 11 mos', 'TU/e innovation Space · Part-time', '1 yr 8 mos', 'FTC Team Space']"
40,"['4 yrs 5 mos', 'Full-time', '4 yrs 1 mo', 'University of Amsterdam']"
41,"[""Bachelor's degree, Applied Mathemathics/Computer Science"", 'Gymnasium, NT&NG', 'Non-degree, Mathematics and Computer Science']"
42,"['Freelance', 'Mediamatic · Part-time', 'TutorYou · Part-time', 'Amsterdam University College · Internship', 'Kaon · Self-employed']"
43,"[""Master's degree, Applied Mathematics: Computational Science and Engineering"", 'Pre-Master/ Bridging program, Applied Mathematics', ""Bachelor's degree, Clinical technology""]"
44,['12Care · Part-time']
45,"['Just Eat Takeaway.com · Full-time', '1 yr 11 mos', 'Full-time', 'Eindhoven University of Technology', 'Acadèmia Pas a Pas', 'Instituto de Astrofísica de Canarias (IAC)']"
46,"['Q-Park Belgium · Full-time', 'AthenaStudies', 'ASML · Full-time', 'KPMG · Part-time', 'Streetwise Nederland']"
47,"['ООО ""Метро Кэш энд Керри""', ""L'Oréal"", 'X5 Retail Group', 'CROC']"
48,"['Tableau · Full-time', 'Natoora', 'EXASOL', 'Conduent', 'The Information Lab']"
49,"['1 yr 5 mos', 'Permanent', 'Full-time', 'PengYouBao Tech. · Freelance', 'Irdeto · Internship', 'Chaoly', 'WebshopinChina.com']"
