,University
0,[]
1,"['Learning Amazon Web Services (AWS) for Developers', 'Ansible Essential Training', 'Flask Essential Training']"
2,[]
3,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
4,"['University of Amsterdam', 'University of Groningen']"
5,"['Philips', 'Project Manager - MCC AI', 'Graduate Development Program - Software R&D', 'Full Stack Data Scientist - Devoloper Efficiency Analytics', 'Mercedes-Benz Customer Assistance Center Maastricht NV', 'Data Scientist - Natural Language Processing', 'Graduate Intern (Data Science)', 'Voyce Technologies', 'Product Manager', 'Data Scientist']"
6,[]
7,"['Eindhoven University of Technology', 'Eindhoven University of Technology']"
8,"['Utrecht University', 'University of Oslo (UiO)', 'BI Norwegian Business School']"
9,"['Vrije Universiteit Amsterdam (VU Amsterdam)', 'University of Amsterdam', 'Nyenrode Business University']"
10,['Microsoft Certified: Azure Fundamentals']
11,['Convolutional Neural Networks']
12,"['Delft University of Technology', 'Delft University of Technology', 'Maascollege Maassluis']"
13,"['Inholland University of Applied Sciences', 'Arniko College BRT']"
14,"['Erasmus University Rotterdam', 'Erasmus University Rotterdam', 'Leiden University']"
15,"['University of Amsterdam', 'Utrecht University', 'Utrecht University']"
16,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Katholieke Scholengemeenschap Etten-Leur']"
17,"['Delft University of Technology', 'Delft University of Technology', 'Delft University of Technology']"
18,"['Penn State University', 'Western Kentucky University']"
19,"['University of East London', 'Utrecht University', 'Utrecht University']"
20,"['Leiderschap', 'Wiskunde', 'Microsoft Office']"
21,"['Fontys Venlo University of Applied Sciences', 'LIUC - Università Cattaneo', 'National High School Of Mathematics And Science']"
22,"['Radboud University', 'Radboud University', 'Radboud University']"
23,"['Eindhoven University of Technology', 'Politecnico di Torino', 'Politecnico di Torino']"
24,"['Tinbergen Institute', 'University of Mannheim', 'Chulalongkorn University']"
25,"['Vrije Universiteit Amsterdam (VU Amsterdam)', 'Lyceum Sancta Maria']"
26,"['Delft University of Technology', 'Politecnico di Milano', 'Delft University of Technology']"
27,"['Erasmus School of Economics', 'Rotterdam International Secondary School', 'Centro Educativo Miraflores']"
28,"['Delft University of Technology', 'Delft University of Technology']"
29,"['Eindhoven University of Technology', 'UC Irvine', 'UC Irvine']"
30,"['University of Cambridge', 'Radboud University']"
31,"['Radboud University', 'Radboud University', 'Hogeschool van Arnhem en Nijmegen (HAN)']"
32,['The City University of New York']
33,[]
34,"['Wageningen University & Research', 'Utrecht University', 'Utrecht University']"
35,"['Delft University of Technology', 'Delft University of Technology', 'Delft University of Technology']"
36,[]
37,"['University of Amsterdam', 'Utrecht University', 'Utrecht University']"
38,"['Delft University of Technology', 'Erasmus School of Economics', 'Delft University of Technology']"
39,"['Eindhoven University of Technology', 'NewmanCollege Breda']"
40,"['University of Amsterdam', 'Dutch Network on the Mathematics of Operations Research (LNMB)', 'University of Amsterdam']"
41,[]
42,"['University of Amsterdam', 'Jakarta Intercultural School', 'University of Amsterdam']"
43,['Professional Machine Learning Engineer']
44,['Vrije Universiteit Amsterdam (VU Amsterdam)']
45,"['Universitat Politècnica de Catalunya (UPC)', 'Eindhoven University of Technology', 'Institut Jaume Vicens Vives']"
46,"['Maastricht University School of Business and Economics', 'Erasmus School of Economics', 'Sapienza Università di Roma']"
47,"['State University — Higher School of Economics', 'State University — Higher School of Economics', 'Holland International Study Centre']"
48,"['Università degli Studi di Milano', 'University of Amsterdam', 'Università degli Studi di Napoli Federico II']"
49,"['Vrije Universiteit Amsterdam (VU Amsterdam)', 'University of Amsterdam', 'Zhejiang University']"
