,links,characters
0,https://www.linkedin.com/in/lidalanguageservices,Supporter (S)
1,https://www.linkedin.com/in/elebasilio,Supporter (S)
2,https://www.linkedin.com/in/verityckerkhoff,Supporter (S)
3,https://www.linkedin.com/in/rosanabenatti,Supporter (S)
4,https://www.linkedin.com/in/olga-gandra-9712b564,Harmonizer (IS)
5,https://www.linkedin.com/in/giovanna-digregorio-a8064763,Counselor (Si)
6,https://www.linkedin.com/in/beth-hutchinson-358a19101,Counselor (Si)
7,https://www.linkedin.com/in/rebekah-lawler-19409a126,Counselor (Si)
8,https://www.linkedin.com/in/susana-matthews-37364052,Counselor (Si)
9,https://www.linkedin.com/in/darrenhain,Encourager (Is)
